PT PLN NUSANTARA POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 UNIT PEMBANGKITAN KENDARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT : PLTD WUAWUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKHTISAR HARIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Dokumen,,,: SMT-FM-KIT-01.07,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revisi,,,: 00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanggal,,,: 23 September 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halaman,,,: ,,,,,,,,,,,,,,
Bulan,,: Juli 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Unit,Daya (kW),,,Beban Puncak (kW),,Ratio,"Produksi Bruto
(kWh)","Produksi Netto
(kWh)",Pemakaian Sendiri,,,,Jam Indikator,,,,,Trip Non OMC,,Derating,,,,Kinerja Pembangkit,,,,Capabillity Factor (%),Nett Operating Factor (%),JSI,Pemakaian Bahar Bakar/ Baku,,,,,,,,,Pemakaian Pelumas,,,,,,,EFFISIENSI,,,Ket.,,,"PT PLN NUSANTARA POWER
SUMMARY HARIAN
PLTD WUAWUA",,,,,,,,,,
,, Daya Terpasang,Daya Mampu SILM ,Daya Mampu Pasok,Siang,Malam,Daya,,,"Aux
(kWh)","Susut Trafo
(kWh)",Persentase,Jam Periode,OPR,HAR,,GGN,"STAND 
BY",MESIN,LISTRIK,EFDH,EPDH,EUDH,ESDH,EAF,SOF,EFOR,SdOF (Kali),NCF,,,HSD,B 10,B 15,B 20,B 25,B 35,MFO,TOTAL BBM,AIR,Meditran SX 15W/40 CH-4,Salyx 420,Salyx 430,TravoLube A,Turbolube 46,Turbolube 68,TOTAL,SFC/ SCC,TARA KALOR/ NPHR,SLC,,,,,,,,,,,,,,
,,,,,,,KIT,,,,,,,,PO,MO,FO,,(KALI),(KALI),,,,,,,,,,,,(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(M3),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER),(LITER/KWH),(KCAL/KWH),(CC/KWH),,,,BULAN,,: Juli 2024,,,,,,,,
 I , PLTD WUA-WUA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit,Jam Operasi,Pemakaian BBM (Liter),NCF (%),EAF (%),SOF (%),EFOR (%),SFC (Liter/kWh),SLC (ml/kWh),PSST (%)
 1 , MAK 8M 453 AK #1 ,"2,544","1,700","1,700"," 1,700 "," 1,700 ",100.00%," 713,000 "," 651,000 "," 31,000 "," 31,000 ",8.70%, 744 , 620 , - , - , - , 124 , - , - , - , - , - , - ,100.00%,0.00%,0.00%, - ,1595.59%,61.76%," 14,436 ",,,,,,,, - ,,,,,,,, - ,0.000,0, - , Standby ,,, 1 , MAK 8M 453 AK #1 ,620.00,0.00,15.96,100.00%,0.00%,0.00%,0.00,0.00,8.70%
 2 , MAK 8M 453 AK #2 ,"2,544","1,600","1,600", - , - ,0.00%, - , - , - , - ,0.00%, 744 , - , - , - , - , 744 , - , - , - , - , - , - ,100.00%,0.00%,0.00%, - ,0.00%,0.00%," 13,091 ",,,,,,,, - ,,,,,,,, - ,0.000,0, - , Standby ,,, 2 , MAK 8M 453 AK #2 ,0.00,0.00,0.00,100.00%,0.00%,0.00%,0.00,0.00,0.00%
 3 , MAK 8M 453 AK #3 ,"2,544","1,700","1,700", - , - ,0.00%, - , - , - , - ,0.00%, 744 , - , - , - , - , 744 , - , - , - , - , - , - ,100.00%,0.00%,0.00%, - ,0.00%,0.00%," 7,594 ",,,,,,,, - ,,,,,,,, - ,0.000,0, - , Standby ,,, 2 , MAK 8M 453 AK #3 ,0.00,0.00,0.00,100.00%,0.00%,0.00%,0.00,0.00,0.00%
